id	name	company_type	industry_code
136	Zoombeat	private	100
137	Twinte	private	27
138	Plambee	private	62
139	Eazzy	public	61
140	Realfire	private	24
141	Yabox	private	135
142	Skyble	public	13
143	Plajo	public	69
144	Jabberbean	public	32
145	Mycat	public	133
146	Latz	public	116
147	Devbug	private	13
148	Rhyzio	private	133
149	Cogidoo	private	86
150	Lazzy	public	70
151	Dazzlesphere	public	38
152	Yambee	public	115
153	Oodoo	public	86
154	Linkbridge	private	36
155	Realbuzz	public	61
156	Tagtune	public	105
157	Wordpedia	public	71
158	Vinte	private	82
159	Tavu	private	121
160	Viva	public	146
161	Yambee	private	13
162	Buzzbean	public	139
163	Voonix	public	96
164	Shuffledrive	public	145
165	Innojam	private	22
166	Brightbean	public	145
167	Blogspan	public	115
168	Divape	private	136
169	Leenti	private	120
170	Fivechat	private	106
171	Jaxbean	private	93
172	Aimbo	private	117
173	Dynazzy	private	8
174	Quinu	public	26
175	Skaboo	private	54
176	Oba	private	115
177	Pixonyx	public	50
178	Photobean	private	48
179	Topicstorm	private	93
180	Feedspan	private	83
181	Ozu	public	126
182	Blogtag	private	24
183	Thoughtbeat	private	73
184	Quamba	private	78
185	Livepath	private	35
186	Teklist	private	54
187	Innojam	private	57
188	Snaptags	public	86
189	Meezzy	private	75
190	Twitternation	private	136
191	Edgetag	public	51
192	Tekfly	public	37
193	Yodo	public	55
194	Rooxo	private	148
195	Jaloo	private	16
196	Topicblab	public	104
197	Eire	private	68
198	Shuffletag	public	69
199	Yamia	private	67
200	Katz	private	138
201	Wordtune	private	41
202	Shuffledrive	private	31
203	Quatz	public	17
204	Rhyloo	public	56
205	Gabtype	public	26
206	Bluejam	private	44
207	Brainverse	private	81
208	Dazzlesphere	public	70
209	Browsebug	private	115
210	Shufflester	public	97
211	Jabbercube	private	130
212	Youspan	public	138
213	Eamia	private	98
214	Minyx	private	32
215	Leenti	private	71
216	LiveZ	private	38
217	Zoomcast	public	104
218	Digitube	public	81
219	Brainlounge	public	3
220	Voonyx	public	30
221	Dabjam	private	46
222	Feedmix	private	21
223	Jabbersphere	private	109
224	Trupe	public	93
225	Thoughtblab	private	38
226	Thoughtbridge	private	138
227	Photolist	private	57
228	Aivee	public	81
229	Devshare	public	122
230	Dabvine	private	9
231	Brainbox	private	61
232	Dabshots	public	102
233	Mita	private	137
234	Flipopia	private	45
235	Meetz	private	99
236	Quinu	public	19
237	Twinte	private	92
238	Edgewire	public	102
239	Vimbo	private	57
240	Vitz	private	136
241	Quatz	public	13
242	Kimia	public	144
243	Zoomdog	private	52
244	Voonder	private	125
245	Blognation	private	48
246	Quatz	private	93
247	Zoombeat	private	44
248	LiveZ	public	95
249	LiveZ	public	39
250	Skidoo	public	132
251	Twinder	public	138
252	Buzzbean	public	123
253	Brainlounge	private	19
254	Roomm	private	68
255	Thoughtworks	public	75
256	Blogspan	public	125
257	Skyble	private	54
258	Trudoo	private	7
259	Flipbug	private	131
260	Shuffletag	private	22
261	Dynava	public	113
262	Dynazzy	private	5
263	Meevee	public	102
264	Brainverse	public	34
265	Topicstorm	private	5
266	Zoomzone	private	5
267	Centidel	private	107
268	Meembee	public	77
269	Topiclounge	private	62
270	Skippad	private	76
271	Jetwire	public	57
272	Dynabox	public	42
273	Trudeo	public	127
274	Blogspan	private	147
275	Voomm	public	143
276	Dabfeed	private	58
277	Photobug	private	4
278	Jetpulse	public	71
279	Skyvu	public	140
280	Bluejam	public	77
281	Skivee	public	104
282	Quamba	public	105
283	Twimbo	public	13
284	Tagfeed	public	48
285	Gigabox	public	130
286	Kimia	private	144
287	Oodoo	private	103
288	Aimbu	public	137
289	Riffpath	private	145
290	Topicware	public	114
291	Camimbo	private	124
292	Meevee	public	82
293	Jazzy	private	120
294	Roombo	public	103
295	Skyvu	private	40
296	Photojam	private	130
297	Devbug	private	35
298	Skimia	public	45
299	Aimbo	public	56
300	Flipopia	private	137
301	Aibox	private	93
302	Quinu	public	133
303	Voonte	private	137
304	Yadel	private	71
305	Quimm	public	100
306	Edgeblab	private	66
307	Kaymbo	private	120
308	Agivu	private	127
309	Rhycero	public	100
310	Realblab	public	145
311	Vipe	private	61
312	Dynabox	private	63
313	Mybuzz	private	129
314	Miboo	private	7
315	Buzzshare	private	73
316	Yabox	public	114
317	Twinder	private	18
318	Flipstorm	public	119
319	Latz	private	46
320	Kazio	public	5
321	Shufflebeat	public	48
322	Brightdog	public	32
323	Yacero	private	29
324	Ntags	public	11
325	Yakidoo	private	119
326	Shufflebeat	private	104
327	Feedspan	private	143
328	Trudeo	public	71
329	Photolist	public	11
330	Abata	private	56
331	LiveZ	public	104
332	Topiclounge	private	101
333	Feedbug	private	67
334	Buzzbean	private	113
335	Dabtype	public	7
336	Quimm	public	29
337	Devify	public	123
338	Layo	public	30
339	Livefish	private	12
340	Teklist	public	92
341	Ailane	private	8
342	Zava	public	38
343	Eabox	public	32
344	Flipstorm	public	73
345	Skidoo	private	117
346	Minyx	private	56
347	Snaptags	public	109
348	Teklist	private	143
349	Meeveo	private	25
350	Babbleset	private	20
351	Flipstorm	public	30
352	Omba	private	101
353	Feedfish	public	59
354	Mita	private	78
355	Skynoodle	private	27
356	Latz	private	68
357	Mita	public	84
358	Blognation	public	39
359	Kwinu	public	9
360	Topiczoom	public	47
361	Trudoo	private	136
362	Wikido	public	6
363	Reallinks	public	94
364	Rhyloo	private	79
365	Tazzy	private	114
366	Gigashots	private	82
367	Skippad	private	68
368	Quimm	public	28
369	Demivee	private	112
370	Skidoo	private	10
371	Shufflebeat	private	130
372	Quimba	public	72
373	Skilith	public	145
374	Dazzlesphere	public	87
375	Livetube	private	30
376	Browsebug	public	122
377	Realblab	public	27
378	Mybuzz	public	116
379	Devpoint	private	13
380	Feednation	public	96
381	Dazzlesphere	public	142
382	Gigaclub	public	101
383	Mynte	private	33
384	Oyope	private	139
385	Yodo	public	57
386	Wordware	private	45
387	Twitterbeat	private	78
388	Skivee	public	49
389	Oozz	private	122
390	Thoughtblab	private	10
391	Innojam	private	30
392	Livetube	private	93
393	Divavu	private	43
394	Linklinks	public	63
395	Roomm	private	117
396	Oloo	public	67
397	Voolia	private	124
398	Shufflester	private	128
399	Lazz	private	133
400	Kazio	private	88
401	Shufflebeat	public	97
402	Chatterbridge	private	79
403	Yoveo	public	74
404	Izio	private	20
405	Skinder	private	21
406	Blogtag	private	22
407	Photofeed	public	72
408	Thoughtbridge	private	6
409	Dabshots	private	9
410	Voolia	public	37
411	Flashspan	public	74
412	Zoozzy	public	12
413	Edgeify	public	49
414	Skinder	public	82
415	Wordware	public	80
416	Feedfire	private	23
417	Divavu	private	140
418	Skaboo	public	18
419	Linklinks	private	34
420	Topicstorm	public	62
421	Gabvine	private	58
422	Skippad	public	139
423	Photofeed	public	22
424	Dabfeed	private	106
425	Quire	private	81
426	Bluezoom	public	141
427	Linkbridge	private	120
428	Rooxo	public	83
429	Yabox	public	131
430	Bubbletube	public	65
431	Gigabox	public	91
432	Feedfish	private	33
433	Jaxworks	public	31
434	Feedbug	public	138
435	Wikido	public	72
436	Babblestorm	private	99
437	Tanoodle	private	111
438	Livepath	private	82
439	Wikizz	public	121
440	Chatterbridge	public	96
441	Jabbercube	public	75
442	Youopia	private	81
443	Aibox	public	55
444	Aibox	private	46
445	Realmix	public	148
446	Tekfly	private	29
447	Rhynyx	private	66
448	Jabbercube	private	29
449	Reallinks	private	43
450	Talane	public	80
451	Yodoo	private	12
452	Avaveo	public	22
453	Trupe	private	69
454	Wikizz	private	85
455	Katz	private	118
456	Roodel	public	58
457	Demizz	public	123
458	Pixope	public	94
459	Eire	private	112
460	Vinte	private	10
461	Skinte	public	42
462	Dazzlesphere	public	12
463	Yodoo	public	63
464	Tazz	public	121
465	Demivee	private	6
466	Fatz	private	40
467	Gabcube	public	36
468	Youspan	private	102
469	Podcat	public	76
470	Abatz	public	14
471	DabZ	public	144
472	Jazzy	private	116
473	Livetube	private	71
474	Pixoboo	public	13
475	Quaxo	private	16
476	Myworks	private	136
477	Skipstorm	private	54
478	Roomm	private	88
479	Mita	private	51
480	Yombu	private	68
481	Eazzy	public	57
482	Feedfire	private	64
483	Voomm	public	60
484	Roombo	public	127
485	Rooxo	public	92
486	Camimbo	public	113
487	Gigazoom	private	47
488	Twinder	private	18
489	Skinte	private	24
490	Jazzy	private	28
491	Quaxo	public	123
492	Buzzdog	public	127
493	Zoomdog	public	52
494	Tagcat	private	35
495	Einti	public	39
496	Quaxo	private	22
497	Realcube	public	126
498	Dazzlesphere	private	11
499	Mydeo	private	23
500	Blogspan	private	129
